current_global_round,current_iteration,average_training_loss,test_loss,accuracy
0,160,498.60583049058914,332.2490129470825,56.17
1,320,469.8982135951519,312.6842098236084,72.91
2,480,452.80333968997,301.18987345695496,77.45
3,640,441.60737147927284,293.7285774946213,79.88
4,800,433.6911863386631,288.42460453510284,81.43
5,960,427.8555957078934,284.4678771495819,82.08
6,1120,423.36083722114563,281.6023973226547,82.84
7,1280,419.67211976647377,279.1090564727783,83.23
8,1440,416.64949744939804,277.0160838365555,83.89
9,1600,414.1081842780113,275.34021949768066,84.27
10,1760,411.8964477777481,273.9493559598923,84.47
11,1920,410.0298565328121,272.67596983909607,84.62
12,2080,408.32534354925156,271.5987504720688,84.86
13,2240,406.83068308234215,270.56264328956604,85.04
14,2400,405.47456607222557,269.6645506620407,85.39
15,2560,404.26838302612305,268.94740641117096,85.69
16,2720,403.1378770172596,268.1261932849884,85.73
17,2880,402.1526883840561,267.463685631752,85.91
18,3040,401.1749860942364,266.8139628171921,86.07
19,3200,400.3277308344841,266.2617244720459,86.04
20,3360,399.50901395082474,265.68306267261505,86.29
21,3520,398.76547506451607,265.1787431240082,86.42
22,3680,398.0357925891876,264.78992879390717,86.49
23,3840,397.4022793471813,264.3257964849472,86.54
24,4000,396.74109694361687,263.9370504617691,86.67
0,160,490.56615483760834,327.5037546157837,60.53
1,320,464.48223251104355,309.589671254158,72.26
2,480,449.0035333633423,299.109597325325,77.34
3,640,438.8062125444412,292.2001864910126,79.51
4,800,431.46592342853546,287.2623394727707,81.25
5,960,425.9932737648487,283.55348896980286,82.07
6,1120,421.70130947232246,280.69343316555023,82.92
7,1280,418.2016550898552,278.3299399614334,83.29
8,1440,415.29468244314194,276.4076271057129,83.78
9,1600,412.8507014513016,274.753422498703,84.24
10,1760,410.7083424925804,273.3215024471283,84.66
11,1920,408.9113020300865,272.1259617805481,84.73
12,2080,407.24503538012505,271.03029704093933,85.09
13,2240,405.80946558713913,270.0239053964615,85.19
14,2400,404.48840576410294,269.10234022140503,85.44
15,2560,403.3107824623585,268.3754721879959,85.75
16,2720,402.21032777428627,267.64133989810944,85.91
17,2880,401.2522775530815,267.00181770324707,85.97
18,3040,400.2959052324295,266.2621258497238,86.12
19,3200,399.47874039411545,265.7472425699234,86.21
20,3360,398.6822797358036,265.2217866182327,86.33
21,3520,397.949904859066,264.7734434604645,86.51
22,3680,397.24217489361763,264.3687323331833,86.44
23,3840,396.62314507365227,263.80799627304077,86.51
24,4000,395.9765792489052,263.4692163467407,86.72
0,160,403.47192019224167,259.4735435247421,77.44
1,320,167.13631681352854,95.67488521337509,83.75
2,480,114.32210356369615,67.64338827133179,86.95
3,640,104.01738655567169,58.30045613646507,89.26
4,800,92.83138081431389,52.89286011457443,90.25
5,960,83.44039613567293,49.44545242190361,90.91
6,1120,80.28502168506384,46.27060003578663,91.74
7,1280,78.75844536535442,45.31713047623634,91.46
8,1440,78.86390390992165,44.34368745982647,91.85
9,1600,79.19161261245608,42.88096199184656,92.27
10,1760,71.15975545812398,41.06401513516903,92.34
11,1920,66.84920749440789,40.345585994422436,92.53
12,2080,63.75251238234341,37.84970261156559,92.77
13,2240,67.67329506576061,36.366906113922596,93.19
14,2400,58.757366782054305,34.34514172375202,93.61
15,2560,56.01585475541651,34.089588802307844,93.61
16,2720,54.850486274342984,33.12649440020323,93.67
17,2880,53.40721846371889,31.937557101249695,93.98
18,3040,56.79934072075412,31.58714085444808,93.98
19,3200,50.944407794158906,30.37309317663312,94.37
20,3360,51.166215379722416,29.725505102425814,94.41
21,3520,47.29217301448807,28.910502530634403,94.65
22,3680,50.14875475689769,28.42032601684332,94.68
23,3840,49.17877503531054,27.297803424298763,94.99
24,4000,43.2327449163422,25.815567165613174,94.94
0,160,349.63295593857765,215.17970991134644,78.38
1,320,155.39529721811414,85.3245535492897,85.11
2,480,109.38600172102451,64.55395028740168,87.48
3,640,105.13611666485667,56.42562212049961,89.58
4,800,92.17071424424648,51.57466281950474,90.43
5,960,81.55371804721653,47.78579310327768,91.36
6,1120,78.01693290192634,44.4380486831069,91.88
7,1280,78.15457559470087,43.951841965317726,91.85
8,1440,75.88224202394485,42.443388283252716,92.13
9,1600,70.21673623472452,39.6924991607666,92.8
10,1760,66.97289091534913,39.309460278600454,92.89
11,1920,62.91384551115334,37.806641824543476,92.93
12,2080,60.334823115728796,35.468699637800455,93.33
13,2240,64.13979640975595,34.64014424756169,93.43
14,2400,55.72038110392168,32.3361723870039,94.02
15,2560,53.2338509070687,32.24638199061155,94.12
16,2720,51.130346848163754,30.49294176325202,94.37
17,2880,49.771448026411235,29.355068020522594,94.55
18,3040,52.639662033412606,29.04266430810094,94.43
19,3200,47.32399145048112,28.016161404550076,94.89
20,3360,46.077152067329735,26.938845723867416,94.99
21,3520,43.41017710417509,26.38594415038824,95.15
22,3680,45.293720201123506,25.733769811689854,95.28
23,3840,45.03072969755158,25.040106739848852,95.39
